********** SWISU  42 observations **********
Fence_GdWo           -0.057783
BsmtQual_TA           0.057663
PavedDrive_Y          0.045339
FireplaceQu_None     -0.044888
GarageType_Attchd     0.044296
LotFrontage           0.042659



********** Crawfor  94 observations **********
GrLivArea              0.553874
OverallQual            0.219713
BsmtFinSF1             0.188940
CentralAir_Y           0.164047
LotArea                0.162791
OverallCond            0.125468
Exterior2nd_CmentBd    0.100387
SaleType_WD           -0.085921
HalfBath               0.077864
Exterior1st_BrkFace    0.066000
ExterQual_TA          -0.059398
GarageYrBlt_2008.0     0.058764
FullBath               0.048498
TotalBsmtSF            0.047073
GarageCars             0.044933



********** Greens  8 observations **********
BsmtFinSF1            1.803796e-01
TotRmsAbvGrd          1.371620e-01
YearRemodAdd          4.907149e-02
Fireplaces            4.428900e-02
BldgType_Twnhs       -2.004608e-02
GarageType_Attchd     1.256981e-02
BsmtFinType2_LwQ      4.530246e-03
BldgType_TwnhsE       1.960238e-16
GarageType_Detchd    -6.938894e-18
GarageYrBlt_1937.0    0.000000e+00
GarageYrBlt_1936.0    0.000000e+00
GarageYrBlt_1935.0    0.000000e+00
GarageYrBlt_1934.0    0.000000e+00
GarageYrBlt_1933.0    0.000000e+00
GarageYrBlt_1932.0    0.000000e+00



********** ClearCr  40 observations **********
GrLivArea             0.305539
OverallQual           0.291567
OverallCond           0.151678
BsmtExposure_Gd       0.126795
TotalBsmtSF           0.117151
LandSlope_Mod         0.109059
LandContour_HLS      -0.088037
FireplaceQu_None     -0.083921
GarageYrBlt_1966.0   -0.083747
KitchenQual_Gd        0.075527
GarageType_Attchd     0.064977
1stFlrSF              0.053753
LotShape_IR2          0.046430
GarageFinish_RFn      0.046427
MSSubClass           -0.043976



********** GrnHill  2 observations **********
GrLivArea             3.528206e-01
LotFrontage           1.734723e-17
GarageYrBlt_1927.0    0.000000e+00
GarageYrBlt_1936.0    0.000000e+00
GarageYrBlt_1935.0    0.000000e+00
GarageYrBlt_1934.0    0.000000e+00
GarageYrBlt_1933.0    0.000000e+00
GarageYrBlt_1932.0    0.000000e+00
GarageYrBlt_1931.0    0.000000e+00
GarageYrBlt_1930.0    0.000000e+00
GarageYrBlt_1929.0    0.000000e+00
GarageYrBlt_1928.0    0.000000e+00
GarageYrBlt_1926.0    0.000000e+00
GarageYrBlt_1938.0    0.000000e+00
GarageYrBlt_1925.0    0.000000e+00



********** StoneBr  45 observations **********
GrLivArea              0.214749
1stFlrSF               0.183044
MasVnrArea             0.134127
KitchenQual_TA        -0.124620
BldgType_TwnhsE       -0.106672
ScreenPorch            0.105175
WoodDeckSF             0.082804
Exterior1st_MetalSd    0.082410
BsmtFinType1_GLQ       0.079355
Exterior1st_HdBoard   -0.075340
MasVnrType_None       -0.073024
SaleType_New           0.072814
BsmtFinSF1             0.068824
GarageCars             0.066195
FireplaceQu_Gd         0.064876



********** Veenker  23 observations **********
YearRemodAdd           0.246601
BsmtFullBath           0.166638
HeatingQC_Gd           0.156561
GarageCars            -0.116526
GarageYrBlt_1981.0     0.110159
1stFlrSF               0.100922
FireplaceQu_Gd         0.097511
Exterior1st_Plywood   -0.082676
HeatingQC_TA          -0.080058
LotConfig_Inside       0.075212
KitchenQual_Gd         0.072902
LotShape_IR2          -0.057590
FireplaceQu_Fa        -0.049644
BsmtExposure_No       -0.048528
BsmtFinType2_Rec      -0.046048



********** NPkVill  23 observations **********
FullBath              0.086394
BsmtFinSF1            0.068761
MSSubClass            0.056750
GarageFinish_Unf      0.025498
HeatingQC_TA         -0.021977
FireplaceQu_Fa       -0.016487
YrSold               -0.013995
BsmtFinType2_LwQ     -0.013009
GarageType_Attchd    -0.011603
BsmtQual_Gd          -0.008834
GarageYrBlt_1976.0    0.008220
OverallCond           0.007768
LotConfig_FR2        -0.003776
BldgType_Twnhs       -0.002951
GarageYrBlt_1977.0   -0.001978



********** Blueste  10 observations **********
MSSubClass           -2.240095e-01
BsmtFullBath          1.515399e-01
HeatingQC_Gd          5.350251e-02
GarageType_Attchd     4.635983e-02
BsmtFinSF2            2.425944e-02
KitchenQual_Gd       -2.339915e-02
OverallCond          -1.854031e-02
Fireplaces           -8.866733e-03
BsmtFinType1_Unf     -8.511601e-03
FireplaceQu_None      6.276520e-03
SaleType_WD          -5.413619e-03
FullBath              3.295459e-03
OverallQual           2.445493e-03
GarageYrBlt_1988.0    3.648423e-04
HeatingQC_TA         -2.182860e-16



********** ALL DATA  2624 observations **********
GrLivArea                1.006087
OverallQual              0.635077
TotalBsmtSF              0.268781
OverallCond              0.163184
BsmtFinSF1               0.162296
GarageArea               0.103051
CentralAir_Y             0.088915
GarageCars               0.088460
YearRemodAdd             0.079792
YearBuilt                0.056996
FireplaceQu_None        -0.052691
GarageCond_TA            0.048977
Neighborhood_Crawfor     0.048924
BsmtExposure_Gd          0.044141
MSZoning_RL              0.042876
Foundation_PConc         0.039567
MSZoning_RM             -0.038845
PavedDrive_Y             0.035347
Neighborhood_Somerst     0.034491
BldgType_Twnhs          -0.028581
KitchenQual_TA          -0.028196
MSSubClass              -0.026560
Condition1_Norm          0.025773
HeatingQC_TA            -0.025256
GarageType_Attchd        0.023225
BsmtExposure_No         -0.018774
LotShape_Reg            -0.018418
Neighborhood_NridgHt     0.017232
ExterQual_TA            -0.014832
BsmtFinType1_GLQ         0.014766
FireplaceQu_Gd           0.011900
BsmtFinType1_Unf        -0.011196
Functional_Typ           0.010652
RoofStyle_Gable         -0.009964
Neighborhood_Edwards    -0.009279
GarageFinish_Unf        -0.007834
Exterior2nd_VinylSd      0.006111
BsmtFullBath             0.005982
SaleCondition_Partial    0.005873
MasVnrType_None         -0.002031
BsmtQual_TA             -0.000887
MSZoning_RH             -0.000000
GarageYrBlt_1948.0       0.000000
GarageYrBlt_1947.0       0.000000
GarageYrBlt_1946.0      -0.000000
GarageYrBlt_1945.0       0.000000
GarageYrBlt_1943.0       0.000000
GarageYrBlt_1942.0       0.000000
GarageYrBlt_1941.0      -0.000000
GarageYrBlt_1940.0       0.000000



